product_id,product_name,category,subcategory,list_price,unit_cogs
PRD_163,Footwear Item 8,Footwear,Footwear Sub 2,1979.0,1035.26
PRD_164,Footwear Item 9,Footwear,Footwear Sub 3,5049.0,2247.15
PRD_165,Footwear Item 10,Footwear,Footwear Sub 1,839.0,426.27
PRD_166,Beauty Item 1,Beauty & Cosmetics,Beauty Sub 1,1629.0,742.14
PRD_167,Beauty Item 2,Beauty & Cosmetics,Beauty Sub 2,679.0,293.65
PRD_168,Beauty Item 3,Beauty & Cosmetics,Beauty Sub 3,3319.0,1444.96
PRD_169,Beauty Item 4,Beauty & Cosmetics,Beauty Sub 1,1959.0,704.06
PRD_170,Beauty Item 5,Beauty & Cosmetics,Beauty Sub 2,1459.0,445.93
PRD_171,Beauty Item 6,Beauty & Cosmetics,Beauty Sub 3,3379.0,1519.35
PRD_172,Beauty Item 7,Beauty & Cosmetics,Beauty Sub 1,1889.0,830.83
PRD_173,Beauty Item 8,Beauty & Cosmetics,Beauty Sub 2,1209.0,595.58
PRD_174,Beauty Item 9,Beauty & Cosmetics,Beauty Sub 3,2249.0,898.39
PRD_175,Beauty Item 10,Beauty & Cosmetics,Beauty Sub 1,463.73,206.02
