transaction_id,date,customer_id,product_id,category,region,channel,units,list_price,selling_price,discount,discount_pct,revenue,variable_cost,gross_profit,promotion_flag,promotion_type,customer_segment
TXN_000050,2025-10-03,CST_0073,PRD_108,Consumer Electronics,East,E-Commerce Direct,4,13859.0,11780.15,2078.85,15.0,47120.6,52007.81,-4887.21,1,Navratri Special,Retail Standard
TXN_000051,2025-06-22,CST_0073,PRD_166,Beauty & Cosmetics,East,E-Commerce Direct,4,1629.0,1629.0,0.0,0.0,6516.0,3555.0,2961.0,0,Baseline / None,Retail Standard
TXN_000052,2024-08-17,CST_0220,PRD_170,Beauty & Cosmetics,North-East,E-Commerce Direct,3,1459.0,1283.92,175.08,12.0,3851.76,1684.45,2167.31,1,Flash Wednesday,Retail Silver
TXN_000053,2025-01-15,CST_0585,PRD_174,Beauty & Cosmetics,Central,E-Commerce Direct,95,2249.0,2062.33,186.67,8.3,195921.35,102979.97,92941.38,0,Baseline / None,B2B SMB
TXN_000054,2024-05-09,CST_0195,PRD_113,Consumer Electronics,East,Quick-Commerce,2,30999.0,27279.12,3719.88,12.0,54558.24,56782.87,-2224.63,1,Flash Wednesday,Retail Standard
TXN_000055,2025-09-05,CST_0442,PRD_146,FMCG & Personal Care,Central,E-Commerce Direct,107,286.53,244.7,41.83,14.6,26182.9,23603.45,2579.45,0,Baseline / None,B2B Enterprise
TXN_000056,2025-04-15,CST_0747,PRD_107,Consumer Electronics,South,E-Commerce Direct,4,54529.0,54529.0,0.0,0.0,218116.0,206941.08,11174.92,0,Baseline / None,Retail Platinum
TXN_000057,2025-10-23,CST_0101,PRD_108,Consumer Electronics,North,E-Commerce Direct,4,13859.0,11087.2,2771.8,20.0,44348.8,51758.35,-7409.55,1,Festive Dhamaka,Retail Standard
TXN_000058,2025-03-28,CST_0255,PRD_125,Apparel & Fashion,West,Physical Retail Store,3,2999.0,2999.0,0.0,0.0,8997.0,5065.56,3931.44,0,Baseline / None,Retail Gold
TXN_000059,2024-10-29,CST_0460,PRD_118,Apparel & Fashion,West,Physical Retail Store,4,4849.0,3879.2,969.8,20.0,15516.8,8307.72,7209.08,1,Festive Dhamaka,Retail Standard
TXN_000060,2025-09-09,CST_0256,PRD_110,Consumer Electronics,North,Physical Retail Store,64,29499.0,24543.17,4955.83,16.8,1570762.88,1684939.42,-114176.54,0,Baseline / None,B2B Enterprise
TXN_000061,2024-01-12,CST_0564,PRD_113,Consumer Electronics,South,Physical Retail Store,4,30999.0,21699.3,9299.7,30.0,86797.2,103720.46,-16923.26,1,EOSS Clearance,Retail Silver
TXN_000062,2025-10-09,CST_0554,PRD_102,Consumer Electronics,Central,E-Commerce Marketplace,4,48249.0,48249.0,0.0,0.0,192996.0,183372.08,9623.92,0,Baseline / None,Retail Silver
TXN_000063,2025-06-25,CST_0171,PRD_153,FMCG & Personal Care,North,Physical Retail Store,4,1189.0,1189.0,0.0,0.0,4756.0,3864.76,891.24,0,Baseline / None,Retail Standard
TXN_000064,2025-09-18,CST_0219,PRD_152,FMCG & Personal Care,South,Physical Retail Store,1,509.0,509.0,0.0,0.0,509.0,393.82,115.18,0,Baseline / None,Retail Gold
TXN_000065,2024-09-04,CST_0169,PRD_149,FMCG & Personal Care,North-East,E-Commerce Direct,1,749.0,659.12,89.88,12.0,659.12,610.49,48.63,1,Flash Wednesday,Retail Gold
TXN_000066,2024-10-12,CST_0466,PRD_137,Home & Kitchen,West,E-Commerce Direct,2,969.0,823.65,145.35,15.0,1647.3,1213.24,434.06,1,Navratri Special,Retail Silver
TXN_000067,2025-02-09,CST_0570,PRD_163,Footwear,North,Physical Retail Store,3,1979.0,1979.0,0.0,0.0,5937.0,3402.63,2534.37,0,Baseline / None,Retail Standard
TXN_000068,2024-06-09,CST_0304,PRD_128,Apparel & Fashion,Central,E-Commerce Direct,4,3229.0,3229.0,0.0,0.0,12916.0,5884.84,7031.16,0,Baseline / None,Retail Standard
TXN_000069,2025-07-03,CST_0556,PRD_108,Consumer Electronics,East,Physical Retail Store,1,13859.0,12195.92,1663.08,12.0,12195.92,12551.54,-355.62,1,Flash Wednesday,Retail Silver
TXN_000070,2025-10-15,CST_0599,PRD_162,Footwear,North-East,Physical Retail Store,3,2449.0,2081.65,367.35,15.0,6244.95,4574.92,1670.03,1,Navratri Special,Retail Silver
TXN_000071,2024-04-23,CST_0162,PRD_108,Consumer Electronics,North,Physical Retail Store,1,13859.0,13859.0,0.0,0.0,13859.0,12634.69,1224.31,0,Baseline / None,Retail Platinum
TXN_000072,2024-12-06,CST_0083,PRD_124,Apparel & Fashion,East,Physical Retail Store,1,1969.0,1732.72,236.28,12.0,1732.72,964.79,767.93,1,Flash Wednesday,Retail Silver
TXN_000073,2025-03-24,CST_0070,PRD_131,Home & Kitchen,North,Physical Retail Store,4,5599.0,5599.0,0.0,0.0,22396.0,15376.72,7019.28,0,Baseline / None,Retail Silver
TXN_000074,2025-12-02,CST_0584,PRD_132,Home & Kitchen,West,Physical Retail Store,4,10929.0,10929.0,0.0,0.0,43716.0,29417.36,14298.64,0,Baseline / None,Retail Gold
TXN_000075,2025-04-10,CST_0041,PRD_111,Consumer Electronics,North-East,E-Commerce Direct,3,40739.0,40739.0,0.0,0.0,122217.0,116845.65,5371.35,0,Baseline / None,Retail Gold
TXN_000076,2025-02-09,CST_0536,PRD_141,Home & Kitchen,North,E-Commerce Direct,2,11339.0,10545.27,793.73,7.0,21090.54,15057.57,6032.97,0,Baseline / None,Retail Silver
TXN_000077,2024-08-31,CST_0734,PRD_141,Home & Kitchen,North,Physical Retail Store,58,11339.0,10579.29,759.71,6.7,613598.82,412303.12,201295.7,0,Baseline / None,B2B SMB
TXN_000078,2024-02-11,CST_0406,PRD_117,Apparel & Fashion,North,E-Commerce Direct,1,889.0,889.0,0.0,0.0,889.0,400.25,488.75,0,Baseline / None,Retail Gold
TXN_000079,2024-06-06,CST_0324,PRD_110,Consumer Electronics,North-East,E-Commerce Marketplace,2,29499.0,25959.12,3539.88,12.0,51918.24,56949.41,-5031.17,1,Flash Wednesday,Retail Platinum
TXN_000080,2025-04-06,CST_0577,PRD_113,Consumer Electronics,East,E-Commerce Marketplace,89,30999.0,23714.24,7284.76,23.5,2110567.36,2485592.11,-375024.75,1,Flash Wednesday,B2B SMB
TXN_000081,2025-06-09,CST_0272,PRD_117,Apparel & Fashion,North-East,Physical Retail Store,30,889.0,829.44,59.56,6.7,24883.2,10851.36,14031.84,0,Baseline / None,B2B SMB
TXN_000082,2025-11-05,CST_0071,PRD_132,Home & Kitchen,East,Physical Retail Store,2,10929.0,8743.2,2185.8,20.0,17486.4,14490.1,2996.3,1,Festive Dhamaka,Retail Silver
TXN_000083,2025-04-10,CST_0557,PRD_139,Home & Kitchen,West,Quick-Commerce,2,10229.0,10229.0,0.0,0.0,20458.0,16328.62,4129.38,0,Baseline / None,Retail Standard
TXN_000084,2024-09-22,CST_0670,PRD_168,Beauty & Cosmetics,North,E-Commerce Marketplace,34,3319.0,2353.17,965.83,29.1,80007.78,59529.65,20478.13,1,Flash Wednesday,B2B Enterprise
TXN_000085,2024-09-09,CST_0307,PRD_114,Consumer Electronics,South,E-Commerce Marketplace,4,14979.0,13900.51,1078.49,7.2,55602.04,56873.27,-1271.23,0,Baseline / None,Retail Silver
TXN_000086,2024-04-19,CST_0119,PRD_114,Consumer Electronics,West,E-Commerce Marketplace,2,14979.0,14349.88,629.12,4.2,28699.76,28553.47,146.29,0,Baseline / None,Retail Standard
TXN_000087,2025-04-27,CST_0289,PRD_127,Apparel & Fashion,West,Physical Retail Store,34,4729.0,4440.53,288.47,6.1,150978.02,67205.98,83772.04,0,Baseline / None,
TXN_000088,2025-10-14,CST_0209,PRD_134,Home & Kitchen,North,Physical Retail Store,17,2599.0,1764.72,834.28,32.1,30000.24,25873.42,4126.82,1,Festive Dhamaka,B2B Enterprise
TXN_000089,2025-06-20,CST_0053,PRD_112,Consumer Electronics,East,Physical Retail Store,1,20759.0,20759.0,0.0,0.0,20759.0,18545.34,2213.66,0,Baseline / None,Retail Standard
TXN_000090,2024-01-12,CST_0284,PRD_106,Consumer Electronics,Central,Quick-Commerce,4,3789.0,2652.3,1136.7,30.0,10609.2,13246.48,-2637.28,1,EOSS Clearance,Retail Standard
TXN_000091,2024-04-01,CST_0134,PRD_134,Home & Kitchen,North-East,Physical Retail Store,2,2599.0,2599.0,0.0,0.0,5198.0,3127.36,2070.64,0,Baseline / None,
TXN_000092,2025-06-15,CST_0453,PRD_171,Beauty & Cosmetics,West,Physical Retail Store,69,3379.0,3118.82,260.18,7.7,215198.58,115595.08,99603.5,0,Baseline / None,B2B SMB
TXN_000093,2025-03-22,CST_0575,PRD_102,Consumer Electronics,East,E-Commerce Direct,1,48249.0,42459.12,5789.88,12.0,42459.12,43391.97,-932.85,1,Flash Wednesday,Retail Gold
TXN_000094,2024-02-12,CST_0708,PRD_120,Apparel & Fashion,Central,E-Commerce Direct,4,3609.0,3609.0,0.0,0.0,14436.0,7968.24,6467.76,0,Baseline / None,Retail Silver
TXN_000095,2025-10-24,CST_0597,PRD_171,Beauty & Cosmetics,East,Physical Retail Store,3,3379.0,2703.2,675.8,20.0,8109.6,4963.53,3146.07,1,Festive Dhamaka,Retail Platinum
TXN_000096,2025-05-31,CST_0316,PRD_147,FMCG & Personal Care,West,E-Commerce Marketplace,2,1019.0,1019.0,0.0,0.0,2038.0,1723.76,314.24,0,Baseline / None,Retail Standard
TXN_000097,2024-12-10,CST_0041,PRD_146,FMCG & Personal Care,North-East,Physical Retail Store,3,286.53,286.53,0.0,0.0,859.59,638.69,220.9,0,Baseline / None,Retail Gold
TXN_000098,2025-11-20,CST_0256,PRD_114,consumer_electronics,North,Physical Retail Store,65,14979.0,9466.73,5512.27,36.8,615337.45,837498.12,-222160.67,1,Festive Dhamaka,B2B Enterprise
TXN_000099,2025-04-07,CST_0417,PRD_120,Apparel & Fashion,North,Quick-Commerce,92,3609.0,3100.13,508.87,14.1,285211.96,190464.55,94747.41,0,Baseline / None,B2B Enterprise
TXN_000100,2024-04-08,CST_0243,PRD_121,Apparel & Fashion,North,Physical Retail Store,37,1139.0,1038.77,100.23,8.8,38434.49,20926.77,17507.72,0,Baseline / None,B2B SMB
TXN_000101,2024-07-08,CST_0182,PRD_153,FMCG & Personal Care,North,Physical Retail Store,3,1189.0,832.3,356.7,30.0,2496.9,2845.07,-348.17,1,EOSS Clearance,Retail Gold
TXN_000102,2024-03-20,CST_0341,PRD_153,FMCG & Personal Care,North,E-Commerce Direct,1,1189.0,1189.0,0.0,0.0,1189.0,1013.75,175.25,0,Baseline / None,Retail Standard
TXN_000103,2024-09-16,CST_0255,PRD_135,Home & Kitchen,West,E-Commerce Direct,4,1799.0,1799.0,0.0,0.0,7196.0,4404.64,2791.36,0,Baseline / None,Retail Gold
TXN_000104,2024-04-10,CST_0392,PRD_105,Consumer Electronics,West,E-Commerce Direct,4,40069.0,38386.1,1682.9,4.2,153544.4,143513.16,10031.24,0,Baseline / None,Retail Platinum
TXN_000105,2025-02-23,CST_0472,PRD_145,Home & Kitchen,North,E-Commerce Direct,3,11629.0,11629.0,0.0,0.0,34887.0,24227.13,10659.87,0,Baseline / None,Retail Standard
TXN_000106,2025-11-20,CST_0234,PRD_129,Apparel & Fashion,South,Physical Retail Store,4,989.0,791.2,197.8,20.0,3164.8,2178.96,985.84,1,Festive Dhamaka,Retail Gold
TXN_000107,2025-12-03,CST_0337,PRD_136,Home & Kitchen,North-East,Physical Retail Store,1,10239.0,10239.0,0.0,0.0,10239.0,7148.93,3090.07,0,Baseline / None,Retail Silver
TXN_000108,2025-04-27,CST_0286,PRD_145,Home & Kitchen,North-East,Physical Retail Store,4,11629.0,11629.0,0.0,0.0,46516.0,30442.2,16073.8,0,Baseline / None,Retail Silver
TXN_000109,2025-06-09,CST_0410,PRD_169,Beauty & Cosmetics,North,Physical Retail Store,1,1959.0,1959.0,0.0,0.0,1959.0,802.01,1156.99,0,Baseline / None,Retail Platinum
TXN_000110,2025-08-20,CST_0029,PRD_115,Consumer Electronics,East,Quick-Commerce,64,39529.0,35022.69,4506.31,11.4,2241452.16,2505911.02,-264458.86,0,Baseline / None,B2B SMB
TXN_000111,2025-01-20,CST_0268,PRD_123,Apparel & Fashion,South,Physical Retail Store,30,1739.0,1598.14,140.86,8.1,47944.2,24177.81,23766.39,0,Baseline / None,B2B SMB
TXN_000112,2024-09-02,CST_0040,PRD_114,Consumer Electronics,West,E-Commerce Marketplace,1,14979.0,14979.0,0.0,0.0,14979.0,14358.52,620.48,0,Baseline / None,Retail Silver
TXN_000113,2025-10-11,CST_0322,PRD_156,Footwear,West,E-Commerce Direct,4,2309.0,2309.0,0.0,0.0,9236.0,6104.8,3131.2,0,Baseline / None,Retail Standard
TXN_000114,2025-02-26,CST_0591,PRD_125,Apparel & Fashion,North,E-Commerce Direct,22,2999.0,2789.07,209.93,7.0,61359.54,39370.9,21988.64,0,Baseline / None,B2B SMB
TXN_000115,2024-07-31,CST_0002,PRD_167,Beauty & Cosmetics,Central,E-Commerce Marketplace,1,679.0,679.0,0.0,0.0,679.0,381.92,297.08,0,Baseline / None,Retail Silver
TXN_000116,2024-07-31,CST_0687,PRD_126,Apparel & Fashion,North,Physical Retail Store,1,4869.0,3408.3,1460.7,30.0,3408.3,2093.55,1314.75,1,EOSS Clearance,Retail Silver
TXN_000117,2024-06-21,CST_0072,PRD_143,Home & Kitchen,North-East,Physical Retail Store,1,4659.0,4659.0,0.0,0.0,4659.0,3158.67,1500.33,0,Baseline / None,Retail Silver
TXN_000118,2025-05-11,CST_0680,PRD_116,Apparel & Fashion,East,E-Commerce Direct,3,3269.0,3269.0,0.0,0.0,9807.0,5942.01,3864.99,0,Baseline / None,Retail Platinum
TXN_000119,2024-11-03,CST_0317,PRD_153,FMCG & Personal Care,East,Physical Retail Store,1,1189.0,951.2,237.8,20.0,951.2,954.3,-3.1,1,Festive Dhamaka,Retail Standard
TXN_000120,2025-05-24,CST_0568,PRD_117,Apparel & Fashion,East,Physical Retail Store,4,889.0,889.0,0.0,0.0,3556.0,1458.76,2097.24,0,Baseline / None,Retail Standard
TXN_000121,2025-09-15,CST_0681,PRD_149,FMCG & Personal Care,South,E-Commerce Direct,4,749.0,749.0,0.0,0.0,2996.0,2474.32,521.68,0,Baseline / None,Retail Gold
TXN_000122,2024-08-14,CST_0631,PRD_173,Beauty & Cosmetics,South,Physical Retail Store,4,1209.0,1209.0,0.0,0.0,4836.0,2624.12,2211.88,0,Baseline / None,Retail Gold
TXN_000123,2025-02-25,CST_0562,PRD_101,Consumer Electronics,Central,Physical Retail Store,2,25909.0,25909.0,0.0,0.0,51818.0,43264.32,8553.68,0,Baseline / None,Retail Platinum
TXN_000124,2025-01-31,CST_0216,PRD_156,Footwear,West,Physical Retail Store,73,2309.0,2133.52,175.48,7.6,155746.96,104029.82,51717.14,0,Baseline / None,B2B SMB
TXN_000125,2024-01-17,CST_0330,PRD_160,Footwear,North,E-Commerce Direct,1,5439.0,3807.3,1631.7,30.0,3807.3,3078.03,729.27,1,EOSS Clearance,Retail Platinum
TXN_000126,2024-05-08,CST_0524,PRD_161,Footwear,West,E-Commerce Marketplace,57,4999.0,4644.07,354.93,7.1,264711.99,159418.12,105293.87,0,Baseline / None,B2B SMB
TXN_000127,2024-01-29,CST_0174,PRD_111,Consumer Electronics,North,Physical Retail Store,2,40739.0,28517.3,12221.7,30.0,57034.6,73415.81,-16381.21,1,EOSS Clearance,Retail Gold
TXN_000128,2024-08-19,CST_0680,PRD_143,Home & Kitchen,East,E-Commerce Direct,3,4659.0,4099.92,559.08,12.0,12299.76,9884.14,2415.62,1,Flash Wednesday,Retail Platinum
TXN_000129,2025-12-26,CST_0241,PRD_140,Home & Kitchen,West,E-Commerce Direct,3,5239.0,4757.01,481.99,9.2,14271.03,11680.56,2590.47,0,Baseline / None,Retail Gold
TXN_000130,2024-06-21,CST_0026,PRD_106,Consumer Electronics,West,Physical Retail Store,4,3789.0,3789.0,0.0,0.0,15156.0,12625.08,2530.92,0,Baseline / None,Retail Standard
TXN_000131,2025-03-24,CST_0487,PRD_110,Consumer Electronics,North-East,Physical Retail Store,4,29499.0,29499.0,0.0,0.0,117996.0,106299.88,11696.12,0,Baseline / None,Retail Silver
TXN_000132,2024-07-18,CST_0645,PRD_174,Beauty & Cosmetics,East,Physical Retail Store,3,2249.0,1574.3,674.7,30.0,4722.9,2931.32,1791.58,1,EOSS Clearance,Retail Silver
TXN_000133,2025-01-19,CST_0714,PRD_150,FMCG & Personal Care,East,Physical Retail Store,4,178.23,178.23,0.0,0.0,712.92,594.45,118.47,0,Baseline / None,Retail Silver
TXN_000134,2025-04-27,CST_0672,PRD_101,Consumer Electronics,East,Physical Retail Store,1,25909.0,25909.0,0.0,0.0,25909.0,21632.16,4276.84,0,Baseline / None,Retail Standard
TXN_000135,2024-05-27,CST_0110,PRD_155,FMCG & Personal Care,East,E-Commerce Direct,2,412.12,412.12,0.0,0.0,824.24,724.06,100.18,0,Baseline / None,Retail Standard
TXN_000136,2024-12-31,CST_0713,PRD_167,Beauty & Cosmetics,West,Quick-Commerce,4,679.0,679.0,0.0,0.0,2716.0,1527.68,1188.32,0,Baseline / None,Retail Standard
TXN_000137,2025-02-02,CST_0571,PRD_132,Home & Kitchen,South,Quick-Commerce,37,10929.0,9857.96,1071.04,9.8,364744.52,299308.72,65435.8,0,Baseline / None,B2B SMB
TXN_000138,2025-07-16,CST_0125,PRD_159,Footwear,South,Physical Retail Store,1,4979.0,3485.3,1493.7,30.0,3485.3,2994.45,490.85,1,EOSS Clearance,Retail Standard
TXN_000139,2024-12-15,CST_0476,PRD_168,Beauty & Cosmetics,Central,E-Commerce Marketplace,4,3319.0,3319.0,0.0,0.0,13276.0,7505.72,5770.28,0,Baseline / None,Retail Standard
